id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes
,Petzl,NEWTON EASYFIT European Version (Size 0),ppe,Harnesses,"Nylon, polyester, aluminum","CE EN 361, EAC, JSFAD",C073EA00,,10,,,,,,Label inside waistbelt,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000fUZFMQA4,https://www.petzl.com/NL/en/Professional/Harnesses/NEWTON-EASYFIT-European-Version,https://www.petzl.com/US/en/Professional/safety-alerts/2022-10-12/NEWTON-EASYFIT-Harness-Safety-Notice,,Maat 0 van de NEWTON EASYFIT. LET OP: Petzl heeft een veiligheidsbericht uitgebracht voor de NEWTON EASYFIT — controleer de recall-link vóór goedkeuring. Serienummer op het etiket in de heupgordel.
,Petzl,NEWTON EASYFIT European Version (Size 2),ppe,Harnesses,"Nylon, polyester, aluminum","CE EN 361, EAC, JSFAD",C073EA02,,10,,,,,,Label inside waistbelt,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000fUZFMQA4,https://www.petzl.com/NL/en/Professional/Harnesses/NEWTON-EASYFIT-European-Version,https://www.petzl.com/US/en/Professional/safety-alerts/2022-10-12/NEWTON-EASYFIT-Harness-Safety-Notice,,Maat 2 van de NEWTON EASYFIT. LET OP: Petzl heeft een veiligheidsbericht uitgebracht voor de NEWTON EASYFIT — controleer de recall-link vóór goedkeuring. Serienummer op het etiket in de heupgordel.
,Petzl,NEWTON EASYFIT International Version (Size 0),ppe,Harnesses,"Nylon, polyester, aluminum, steel","CE EN 361, EAC, ANSI Z359.11, CSA Z259.10, JSFAD, GB 6095-2021",C073FA00,,10,,,,,,Label inside waistbelt,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000fX63rQAC,https://www.petzl.com/NL/en/Professional/Harnesses/NEWTON-EASYFIT-International-Version,https://www.petzl.com/US/en/Professional/safety-alerts/2022-10-12/NEWTON-EASYFIT-Harness-Safety-Notice,,Maat 0 van de NEWTON EASYFIT. LET OP: Petzl heeft een veiligheidsbericht uitgebracht voor de NEWTON EASYFIT — controleer de recall-link vóór goedkeuring. Serienummer op het etiket in de heupgordel.
,Petzl,NEWTON EASYFIT International Version (Size 2),ppe,Harnesses,"Nylon, polyester, aluminum, steel","CE EN 361, EAC, ANSI Z359.11, CSA Z259.10, JSFAD, GB 6095-2021",C073FA02,,10,,,,,,Label inside waistbelt,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000fX63rQAC,https://www.petzl.com/NL/en/Professional/Harnesses/NEWTON-EASYFIT-International-Version,https://www.petzl.com/US/en/Professional/safety-alerts/2022-10-12/NEWTON-EASYFIT-Harness-Safety-Notice,,Maat 2 van de NEWTON EASYFIT. LET OP: Petzl heeft een veiligheidsbericht uitgebracht voor de NEWTON EASYFIT — controleer de recall-link vóór goedkeuring. Serienummer op het etiket in de heupgordel.
