id,brand,name,notes
f356b76d-da65-47e9-9939-f2c2dced3fda,STEIN,COPIOUS A-TEC 65cm / 8mm,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT."
21ce50a3-e7cc-43c9-9c58-4d7e3b3135a9,STEIN,COPIOUS A-TEC 70cm / 8mm,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT."
6daf4450-c353-4fd2-abfd-810ecafbcafe,STEIN,COPIOUS A-TEC 75cm / 8mm,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT."
d4259344-fae9-449b-a56a-0098d7c68dd8,STEIN,COPIOUS A-TEC 85cm / 8mm,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT. GTIN 5060660854059."
0e1f397e-9162-4e56-ac2f-9e52480875b1,Tree Runner,Safe Vision Tree Climbing Rope 11.8 mm,"Zelfde touw als Liros Safe Vision 11,8mm; Tree Runner is het huismerk van Technische gegevens overgenomen van fabrikant Liros (besluit Jos 2026-07-31)."
