id,brand,name
680125a6-ee06-4568-96da-0a97c7ea52c8,ISC,Ropegrab (Fixed Axle) RP204
460ae268-0222-4c11-af1b-ae93f028c7d9,ISC,Ropegrab (Pip Pin) RP205
57d6944d-0b6c-406e-8bb1-c66c283127fb,ISC,Single Progress Capture Pulley (non-locking) RP702
e14d9f2f-4516-429b-beb1-8922d05311e4,ISC,Small Double Prussik Alu 13mm RP061-ALU
fc012fd1-fdcf-4ea7-b568-3d50b6ace694,ISC,Small Double Prussik SS 13mm RP061-SS
799736cd-8573-415d-8269-9f76e2c2584f,ISC,Small Forged Pulley 13mm RP050
b291fe7e-d09c-4263-b771-2d4393efca3c,ISC,Small Forged Pulley 16mm RP051-16
7a42381c-734c-408f-8d64-e717981e681a,ISC,Small Rigging Plate RP300
3bd9a33d-85c6-4ba8-b8fb-e469fc8837b4,ISC,Small Single Prussik Alu 13mm RP060-ALU
5d204964-1faf-4d14-925a-695f494b315b,ISC,Small Single Prussik SS 13mm RP060-SS
f19676fd-ae39-48b9-87d2-fceed7a0d1d2,ISC,STRYDER Foot Ascender (L) - NIET PPE RP228
2b550088-daba-4e0d-b48b-4257e605f7f2,ISC,STRYDER Foot Ascender (R) - NIET PPE RP227
222e5fcc-69c5-4c55-879d-fc1a6375d25a,ISC,Ultrasafe Hand Ascender (L) RP230
5fd79f9c-df6e-4620-8f80-6d3a01f091e5,ISC,Ultrasafe Hand Ascender (R) RP240
d86c0d6a-17a1-45a7-9e74-48162f2d692e,ISC,Wrench Pulley RP281
