id,brand,name,material
f0aeb5d7-a976-40e9-add8-e47168d148a7,Courant,Phoenix 8mm Hitch Cord,Aramid/polyester blended sheath
53c86e24-3e7c-416f-86eb-65655c2dda36,Courant,Phoenix 10mm Hitch Cord,Aramid/polyester blended sheath
6fbf77ca-43db-4cf9-ba5c-a3ca2e5f4be8,Courant,Phoenix rope sling 0.65 m,Aramid/polyester blended sheath
,Courant,Phoenix rope sling 0.75 m,Aramid/polyester blended sheath
,Courant,Phoenix rope sling 0.80 m,Aramid/polyester blended sheath
,Courant,Phoenix rope sling 0.85 m,Aramid/polyester blended sheath
,Courant,Phoenix rope sling 0.90 m,Aramid/polyester blended sheath
,Courant,Phoenix rope sling 1.00 m,Aramid/polyester blended sheath
,Courant,Phoenix rope sling 1.10 m,Aramid/polyester blended sheath
