brand,name,standard,breaking_strength,serial_number_location,notes
Petzl,ANNEAU Tactical 60cm Black,"CE EN 566:2017, CE EN 795 type B:2012, UIAA, EAC, GB 30862-2014/B, XF 494-2023:FZL-B-Q",22 kN,Individual number on sewn label,"Bandlus die ook als tijdelijke ankervoorziening (EN 795 type B) mag worden gebruikt. Geteste treksterkte 2x22 kN. Zelfde product als de ANNEAU uit de Professional-serie, alleen zwart in plaats van gekleurd per lengte. 60 cm, 60 g. NSN 3940-145568722."
Petzl,ANNEAU Tactical 80cm Black,"CE EN 566:2017, CE EN 795 type B:2012, UIAA, EAC, GB 30862-2014/B, XF 494-2023:FZL-B-Q",22 kN,Individual number on sewn label,"Bandlus die ook als tijdelijke ankervoorziening (EN 795 type B) mag worden gebruikt. Geteste treksterkte 2x22 kN. Zelfde product als de ANNEAU uit de Professional-serie, alleen zwart in plaats van gekleurd per lengte. 80 cm, 80 g. NSN 3940-145568730."
Petzl,ANNEAU Tactical 120cm Black,"CE EN 566:2017, CE EN 795 type B:2012, UIAA, EAC, GB 30862-2014/B, XF 494-2023:FZL-B-Q",22 kN,Individual number on sewn label,"Bandlus die ook als tijdelijke ankervoorziening (EN 795 type B) mag worden gebruikt. Geteste treksterkte 2x22 kN. Zelfde product als de ANNEAU uit de Professional-serie, alleen zwart in plaats van gekleurd per lengte. 120 cm, 100 g. NSN 3940-145568741."
