brand,name,product_type,category,material,standard,max_age_mfr_years,max_age_use_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,inspection_interval_years,manufacturer_code,manual_url,product_page_url,recall_url,inspection_notice_url
Petzl,SEQUOIA (Size 0),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 813:2024, CE EN 358:2018, ANSI Z133, ASTM F887, CSA Z259.1, GB 6095: W",10,,,150 kg,150,,,,,C069AB00,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000kDhJTQA0,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA (Size 1),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 813:2024, CE EN 358:2018, ANSI Z133, ASTM F887, CSA Z259.1, GB 6095: W",10,,,150 kg,150,,,,,C069AB01,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000kDhJTQA0,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA (Size 2),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 813:2024, CE EN 358:2018, ANSI Z133, ASTM F887, CSA Z259.1, GB 6095: W",10,,,150 kg,150,,,,,C069AB02,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000kDhJTQA0,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA PLUS (Size 0),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 813:2024, CE EN 358:2018",10,,,150 kg,150,,,,,C069BB00,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000p76zeQAA,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA-PLUS,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA PLUS (Size 1),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 813:2024, CE EN 358:2018",10,,,150 kg,150,,,,,C069BB01,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000p76zeQAA,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA-PLUS,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA PLUS (Size 2),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 813:2024, CE EN 358:2018",10,,,150 kg,150,,,,,C069BB02,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000p76zeQAA,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA-PLUS,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA SRT (Size 0),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 358:2018, CE EN 813:2024, EAC, GB 6095: W",10,,,150 kg,150,,,,,C069BA00,https://www.petzl.co.jp/download/pdf/ifu/C069BA.pdf,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA-SRT,https://www.petzl.com/INT/en/Professional/recalls/2019-12-9/Information--safety-alert-for-SEQUOIA-(C069AA_)And-SEQUOIA-SRT-(C069BA_)-harnesses,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA SRT (Size 1),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 358:2018, CE EN 813:2024, EAC, GB 6095: W",10,,,150 kg,150,,,,,C069BA01,https://www.petzl.co.jp/download/pdf/ifu/C069BA.pdf,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA-SRT,https://www.petzl.com/INT/en/Professional/recalls/2019-12-9/Information--safety-alert-for-SEQUOIA-(C069AA_)And-SEQUOIA-SRT-(C069BA_)-harnesses,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
Petzl,SEQUOIA SRT (Size 2),ppe,Harnesses,"Nylon, polyester, polyethylene, aluminum, steel","CE EN 358:2018, CE EN 813:2024, EAC, GB 6095: W",10,,,150 kg,150,,,,,C069BA02,https://www.petzl.co.jp/download/pdf/ifu/C069BA.pdf,https://www.petzl.com/NL/en/Professional/Harnesses/SEQUOIA-SRT,https://www.petzl.com/INT/en/Professional/recalls/2019-12-9/Information--safety-alert-for-SEQUOIA-(C069AA_)And-SEQUOIA-SRT-(C069BA_)-harnesses,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000t0GDKQA2
