id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes
,EDELRID,"X-P*E 12,3mm 1-ST-W 3m",ppe,Climbing Ropes,Polyester,EN 1891 type A,835030039340,,,25 kN,,,12.3,12.3,,,,,,,"Boomklimtouw met een smalle Weblink-eindverbinding (sewn termination). Breuksterkte 25 kN; met de standaard gestikte eindverbinding 15 kN en in een achtknoop 16 kN. Kern 35%, mantel 65%, 118 g/m, statische rek 2,2%. Made in Germany."
,EDELRID,"X-P*E 12,3mm 1-ST-W 4m",ppe,Climbing Ropes,Polyester,EN 1891 type A,835030049340,,,25 kN,,,12.3,12.3,,,,,,,"Boomklimtouw met een smalle Weblink-eindverbinding (sewn termination). Breuksterkte 25 kN; met de standaard gestikte eindverbinding 15 kN en in een achtknoop 16 kN. Kern 35%, mantel 65%, 118 g/m, statische rek 2,2%. Made in Germany."
,EDELRID,"X-P*E 12,3mm 1-ST-W 6m",ppe,Climbing Ropes,Polyester,EN 1891 type A,,,,25 kN,,,12.3,12.3,,,,,,,"Boomklimtouw met een smalle Weblink-eindverbinding (sewn termination). Breuksterkte 25 kN; met de standaard gestikte eindverbinding 15 kN en in een achtknoop 16 kN. Kern 35%, mantel 65%, 118 g/m, statische rek 2,2%. Made in Germany."
,EDELRID,"X-P*E 12,3mm 1-ST-W 36m",ppe,Climbing Ropes,Polyester,EN 1891 type A,,,,25 kN,,,12.3,12.3,,,,,,,"Boomklimtouw met een smalle Weblink-eindverbinding (sewn termination). Breuksterkte 25 kN; met de standaard gestikte eindverbinding 15 kN en in een achtknoop 16 kN. Kern 35%, mantel 65%, 118 g/m, statische rek 2,2%. Made in Germany."
,EDELRID,"X-P*E 12,3mm 1-ST-W 45m",ppe,Climbing Ropes,Polyester,EN 1891 type A,,,,25 kN,,,12.3,12.3,,,,,,,"Boomklimtouw met een smalle Weblink-eindverbinding (sewn termination). Breuksterkte 25 kN; met de standaard gestikte eindverbinding 15 kN en in een achtknoop 16 kN. Kern 35%, mantel 65%, 118 g/m, statische rek 2,2%. Made in Germany."
,EDELRID,"X-P*E 12,3mm 1-ST-W 60m",ppe,Climbing Ropes,Polyester,EN 1891 type A,,,,25 kN,,,12.3,12.3,,,,,,,"Boomklimtouw met een smalle Weblink-eindverbinding (sewn termination). Breuksterkte 25 kN; met de standaard gestikte eindverbinding 15 kN en in een achtknoop 16 kN. Kern 35%, mantel 65%, 118 g/m, statische rek 2,2%. Made in Germany."
