id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes
,Petzl,ANNEAU 60cm Yellow,ppe,Slings,,"CE EN 566:2017, CE EN 795 type B:2012, UIAA, EAC, GB 30862-2014/B, XF 494-2023:FZL-B-Q",,10,,22 kN,,,,,Individual number on sewn label,,,,,,Bandlus die ook als tijdelijke ankervoorziening (EN 795 type B) mag worden gebruikt. Geteste treksterkte 2x22 kN. Kleurcode geeft de lengte aan: 60 cm geel. Bron: technische handleiding ANNEAU G0007000G (16-01-2025).
,Petzl,ANNEAU 80cm Blue,ppe,Slings,,"CE EN 566:2017, CE EN 795 type B:2012, UIAA, EAC, GB 30862-2014/B, XF 494-2023:FZL-B-Q",,10,,22 kN,,,,,Individual number on sewn label,,,,,,Bandlus die ook als tijdelijke ankervoorziening (EN 795 type B) mag worden gebruikt. Geteste treksterkte 2x22 kN. Kleurcode geeft de lengte aan: 80 cm blauw. Bron: technische handleiding ANNEAU G0007000G (16-01-2025).
,Petzl,ANNEAU 120cm Green,ppe,Slings,,"CE EN 566:2017, CE EN 795 type B:2012, UIAA, EAC, GB 30862-2014/B, XF 494-2023:FZL-B-Q",,10,,22 kN,,,,,Individual number on sewn label,,,,,,Bandlus die ook als tijdelijke ankervoorziening (EN 795 type B) mag worden gebruikt. Geteste treksterkte 2x22 kN. Kleurcode geeft de lengte aan: 120 cm groen. Bron: technische handleiding ANNEAU G0007000G (16-01-2025).
,Petzl,ANNEAU 150cm Red,ppe,Slings,,"CE EN 566:2017, CE EN 795 type B:2012, UIAA, EAC, GB 30862-2014/B, XF 494-2023:FZL-B-Q",,10,,22 kN,,,,,Individual number on sewn label,,,,,,Bandlus die ook als tijdelijke ankervoorziening (EN 795 type B) mag worden gebruikt. Geteste treksterkte 2x22 kN. Kleurcode geeft de lengte aan: 150 cm rood. Bron: technische handleiding ANNEAU G0007000G (16-01-2025).
